Year,Month,Day,Country,Region,city,latitude,longitude,AttackType,Killed,Wounded,Target,Group,Target_type,Weapon_type,casualities
2017,1,1,Burundi,Sub-Saharan Africa,Bujumbura,-3.375828,29.364107,Assassination,1.0,0.0,Environment Minister: Emmanuel Niyonkuru,Unknown,Government (General),Firearms,1.0
2017,1,1,Iraq,Middle East & North Africa,Qadisiyah,31.697046000000004,44.47716,Bombing/Explosion,9.0,15.0,Checkpoint,Islamic State of Iraq and the Levant (ISIL),Police,Explosives,24.0
2017,1,1,Egypt,Middle East & North Africa,Cairo,30.084629,31.334314000000003,Bombing/Explosion,0.0,,Civilians,Unknown,Private Citizens & Property,Explosives,
2017,1,2,Pakistan,South Asia,Quetta,30.200819,66.994354,Hostage Taking (Kidnapping),0.0,0.0,Son of Former Federal Minister: Obedullah Kasi,Unknown,Government (General),Unknown,0.0
2017,1,1,Burkina Faso,Sub-Saharan Africa,Sibe,14.119094,-1.515526,Armed Assault,1.0,0.0,Imam: Amidou Tamboura,Ansar al-Islam (Burkina Faso),Religious Figures/Institutions,Firearms,1.0
2017,1,1,Burkina Faso,Sub-Saharan Africa,Djibo,14.093442000000001,-1.6340780000000001,Armed Assault,0.0,1.0,Former Ansarul Islam Member: Mamadou Dicko,Ansar al-Islam (Burkina Faso),Private Citizens & Property,Firearms,1.0
2017,1,1,India,South Asia,Aroor,9.873252,76.302937,Bombing/Explosion,0.0,0.0,Convoy of Minister: Kadannappalli Ramachandran,Unknown,Government (General),Explosives,0.0
2017,1,1,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,1,Afghanistan,South Asia,Ghazni,33.542621999999994,68.415329,Hostage Taking (Kidnapping),0.0,6.0,Civilians,Taliban,Private Citizens & Property,Melee,6.0
2017,1,2,Pakistan,South Asia,Quetta,30.200819,66.994354,Bombing/Explosion,0.0,6.0,Vehicle,Baloch Liberation Army (BLA),Military,Explosives,6.0
2017,1,2,Somalia,Sub-Saharan Africa,Mogadishu,2.002975,45.273875,Bombing/Explosion,6.0,11.0,Checkpoint,Al-Shabaab,Military,Explosives,17.0
2017,1,2,Somalia,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,Bombing/Explosion,5.0,10.0,Hotel,Al-Shabaab,Business,Explosives,15.0
2017,1,2,Pakistan,South Asia,Kanri,28.776834,68.381625,Bombing/Explosion,0.0,3.0,Bus,Unknown,Transportation,Explosives,3.0
2017,1,2,Pakistan,South Asia,Chattar,28.776834,68.381625,Bombing/Explosion,0.0,5.0,Tractor-Trolley,Unknown,Private Citizens & Property,Explosives,5.0
2017,1,2,Afghanistan,South Asia,Mohammad Agha district,34.214801,69.098513,Bombing/Explosion,1.0,4.0,Vehicle,Unknown,Police,Explosives,5.0
2017,1,2,Myanmar,Southeast Asia,Ponnagyun,20.3335,93.003812,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,2,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,10.0,0.0,Unknown,Unknown,Unknown,Explosives,10.0
2017,1,2,Iraq,Middle East & North Africa,Shirqat,35.499439,43.234894,Bombing/Explosion,2.0,0.0,Town,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,2.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,36.0,61.0,Square,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,97.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,0.0,4.0,Car Park,Islamic State of Iraq and the Levant (ISIL),Business,Explosives,4.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,2.0,7.0,Civilians,Unknown,Private Citizens & Property,Explosives,9.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,1.0,4.0,Civilians,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,5.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,0.0,5.0,Hospital,Islamic State of Iraq and the Levant (ISIL),Business,Explosives,5.0
2017,1,2,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,1.0,10.0,Sunni Cleric: Sheikh Mahdi al-Sumaida'i,Islamic State of Iraq and the Levant (ISIL),Religious Figures/Institutions,Explosives,11.0
2017,1,2,Iraq,Middle East & North Africa,Baiji,34.92485,43.491413,Unknown,4.0,12.0,Barracks,Islamic State of Iraq and the Levant (ISIL),Military,Unknown,16.0
2017,1,2,Iraq,Middle East & North Africa,Adhaim,34.275065999999995,44.537865000000004,Armed Assault,9.0,0.0,Tribal Fighters,Unknown,Terrorists/Non-State Militia,Firearms,9.0
2017,1,2,Iraq,Middle East & North Africa,Adhaim,34.275065999999995,44.537865000000004,Armed Assault,3.0,7.0,Tribal Fighters,Unknown,Terrorists/Non-State Militia,Explosives,10.0
2017,1,2,Iraq,Middle East & North Africa,Samarra,34.208416,43.890713,Bombing/Explosion,6.0,0.0,al-Imam Police Station,Islamic State of Iraq and the Levant (ISIL),Police,Explosives,6.0
2017,1,2,Iraq,Middle East & North Africa,Samarra,34.208416,43.890713,Bombing/Explosion,5.0,0.0,al-Mutawakil Police Station,Islamic State of Iraq and the Levant (ISIL),Police,Explosives,5.0
2017,1,2,Burundi,Sub-Saharan Africa,Unknown,-3.509014,29.464359,Hostage Taking (Kidnapping),,,Local Representative: Alexis Nsabimana,Unknown,Violent Political Party,Firearms,
2017,1,2,Afghanistan,South Asia,Nijrab district,34.966667,69.56666700000001,Assassination,1.0,1.0,Vehicle of Former Hizb-i-Islami Commander: Mohammad Omar,Unknown,Private Citizens & Property,Explosives,2.0
2017,1,2,Somalia,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,Unknown,1.0,0.0,Soldier,Al-Shabaab,Military,Unknown,1.0
2017,1,2,Afghanistan,South Asia,Koshki Kohna district,34.87048,62.50668,Armed Assault,6.0,0.0,Convoy,Taliban,Military,Firearms,6.0
2017,1,2,Afghanistan,South Asia,Shahjoy district,32.519241,67.416481,Bombing/Explosion,1.0,0.0,Unknown,Unknown,Unknown,Explosives,1.0
2017,1,2,Algeria,Middle East & North Africa,Mouzaia,36.466727,2.689879,Bombing/Explosion,1.0,7.0,Civilians,Unknown,Private Citizens & Property,Explosives,8.0
2017,1,2,United States,North America,Chicago,41.842602,-87.681229,Hostage Taking (Kidnapping),0.0,1.0,Civilian,Anti-White extremists,Private Citizens & Property,Melee,1.0
2017,1,2,Philippines,Southeast Asia,Basalem,7.740711999999999,123.07651299999999,Assassination,0.0,0.0,Vehicle of Mayor: Eugenio Salva Jr.,Unknown,Government (General),Firearms,0.0
2017,1,2,India,South Asia,Alangulam,8.864636,77.49600799999999,Assassination,1.0,0.0,Former Councilor: A. Mohan Raj,Unknown,Government (General),Firearms,1.0
2017,1,3,Greece,Western Europe,Athens,37.99749,23.762728,Bombing/Explosion,0.0,0.0,National Actuarial Authority President: Efrosini Kouskouna,Unknown,Government (General),Explosives,0.0
2017,1,2,India,South Asia,Unknown,24.663717000000002,93.906269,Unknown,3.0,1.0,Soldiers,People's Liberation Army (India),Military,Unknown,4.0
2017,1,2,Mali,Sub-Saharan Africa,Boni,15.075,-2.221111,Armed Assault,0.0,0.0,Camel Corp Checkpoint,Unknown,Military,Firearms,0.0
2017,1,2,Iraq,Middle East & North Africa,Shirqat district,35.466623999999996,43.238815,Unknown,3.0,5.0,Soldiers,Islamic State of Iraq and the Levant (ISIL),Military,Unknown,8.0
2017,1,3,Yemen,Middle East & North Africa,Lawdar district,13.883332999999999,45.866667,Armed Assault,2.0,8.0,Vehicles,Al-Qaida in the Arabian Peninsula (AQAP),Military,Firearms,10.0
2017,1,3,Pakistan,South Asia,Khazana,34.075466,71.599998,Armed Assault,1.0,0.0,Officer: Zarnosh Khan,Khorasan Chapter of the Islamic State,Police,Firearms,1.0
2017,1,3,Libya,Middle East & North Africa,Unknown,31.164289,16.887760999999998,Bombing/Explosion,1.0,0.0,Mosque,Tripoli Province of the Islamic State,Religious Figures/Institutions,Explosives,1.0
2017,1,3,Pakistan,South Asia,Kech district,25.530286,63.415847,Armed Assault,0.0,2.0,Construction Site,Baloch Liberation Front (BLF),Business,Firearms,2.0
2017,1,3,Philippines,Southeast Asia,Unknown,6.741797,122.398145,Hijacking,0.0,0.0,Ocean Kingdom Merchant Vessel,Abu Sayyaf Group (ASG),Maritime,Firearms,0.0
2017,1,3,Central African Republic,Sub-Saharan Africa,Unknown,6.253712999999999,25.473354999999998,Unknown,2.0,2.0,Convoy,Lord's Resistance Army (LRA),Government (Diplomatic),Unknown,4.0
2017,1,3,Central African Republic,Sub-Saharan Africa,Bokaya,6.879722,15.554444,Armed Assault,1.0,0.0,Convoy,Unknown,Government (Diplomatic),Firearms,1.0
2017,1,3,Egypt,Middle East & North Africa,Ibsheway,29.360998,30.682440000000003,Armed Assault,1.0,1.0,Vehicle,Hasam Movement,Police,Firearms,2.0
2017,1,3,India,South Asia,Salakhani,25.749567000000003,86.006417,Assassination,1.0,0.0,Journalist: Braj Kumar Singh,Unknown,Journalists & Media,Firearms,1.0
2017,1,3,Afghanistan,South Asia,Qadim,36.370146000000005,66.891581,Bombing/Explosion,2.0,2.0,Market,Taliban,Private Citizens & Property,Explosives,4.0
2017,1,3,Afghanistan,South Asia,Arghandab district,31.65,65.65,Unarmed Assault,1.0,0.0,Officer,Unknown,Police,Chemical,1.0
2017,1,3,Afghanistan,South Asia,Kandahar,31.631083,65.742226,Armed Assault,0.0,1.0,Baker's Representative: Haji Amanullah,Unknown,Private Citizens & Property,Firearms,1.0
2017,1,3,Afghanistan,South Asia,Shindand district,33.306127000000004,62.156822999999996,Bombing/Explosion,2.0,1.0,Unknown,Taliban,Unknown,Explosives,3.0
2017,1,3,Nigeria,Sub-Saharan Africa,Dar,10.890928,13.627589000000002,Hostage Taking (Kidnapping),,,Village,Boko Haram,Private Citizens & Property,Firearms,
2017,1,3,Iraq,Middle East & North Africa,Ramadi,33.409771,43.198972,Bombing/Explosion,2.0,1.0,Checkpoint,Islamic State of Iraq and the Levant (ISIL),Military,Explosives,3.0
2017,1,3,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,75.0,0.0,Forces,Islamic State of Iraq and the Levant (ISIL),Military,Explosives,75.0
2017,1,3,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,93.0,0.0,9th Armored Division,Islamic State of Iraq and the Levant (ISIL),Military,Explosives,93.0
2017,1,3,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Unknown,11.0,0.0,16th Division,Islamic State of Iraq and the Levant (ISIL),Military,Unknown,11.0
2017,1,3,India,South Asia,Murran,33.86652,74.864548,Armed Assault,0.0,1.0,Officers,Unknown,Police,Firearms,1.0
2017,1,3,Egypt,Middle East & North Africa,Alexandria,31.200091999999998,29.918739000000002,Armed Assault,1.0,0.0,Shopkeeper of Alcohol Store,Muslim extremists,Business,Melee,1.0
2017,1,3,Lebanon,Middle East & North Africa,Ain al-Hilweh,33.542004,35.381153000000005,Armed Assault,0.0,0.0,Refugee Camp,Unknown,Private Citizens & Property,Explosives,0.0
2017,1,3,India,South Asia,Khelari,23.65,85.0,Bombing/Explosion,0.0,0.0,Coal Washery Weighing House,Communist Party of India - Maoist (CPI-Maoist),Business,Explosives,0.0
2017,1,3,Pakistan,South Asia,Phuleji,28.994965000000004,68.34848199999999,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,3,Pakistan,South Asia,Chattar,28.869226,68.334419,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,3,Mexico,North America,Saltillo,25.426636,-100.995363,Hostage Taking (Kidnapping),1.0,0.0,Priest: Joaquin Hernandez Sifuentes,Unknown,Religious Figures/Institutions,Melee,1.0
2017,1,3,Afghanistan,South Asia,Faizabad district,37.101709,70.555236,Unknown,,,Convoy,Taliban,Military,Unknown,
2017,1,2,Afghanistan,South Asia,Bolan,31.589827000000003,64.337952,Unknown,10.0,3.0,Checkpost,Taliban,Police,Unknown,13.0
2017,1,3,Afghanistan,South Asia,Ishkamish district,36.420649,69.35927,Bombing/Explosion,1.0,2.0,Unknown,Taliban,Unknown,Explosives,3.0
2017,1,4,Libya,Middle East & North Africa,Sirte,31.203173,16.643446,Bombing/Explosion,1.0,0.0,Checkpoint,Tripoli Province of the Islamic State,Military,Explosives,1.0
2017,1,4,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,0.0,0.0,Unknown,Islamic State of Iraq and the Levant (ISIL),Unknown,Explosives,0.0
2017,1,4,Iraq,Middle East & North Africa,Mosul,36.354145,43.143570000000004,Bombing/Explosion,6.0,14.0,Civilians,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,20.0
2017,1,4,Iraq,Middle East & North Africa,Wafa,33.426248,42.977081,Bombing/Explosion,0.0,0.0,Checkpoint,Unknown,Military,Explosives,0.0
2017,1,4,Pakistan,South Asia,Tahir Kot,28.923056,68.328611,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,4,Pakistan,South Asia,Chattar,28.869226,68.334419,Armed Assault,0.0,0.0,Electrical Transformer,Unknown,Utilities,Explosives,0.0
2017,1,4,Pakistan,South Asia,Quetta,30.200819,66.994354,Armed Assault,2.0,0.0,Assistant Sub-Inspector (ASI): Habibullah,Unknown,Police,Firearms,2.0
2017,1,4,Philippines,Southeast Asia,Amas,7.0652610000000005,124.961053,Armed Assault,7.0,1.0,North Cotabato District Jail,Bangsamoro Islamic Freedom Movement (BIFM),Police,Explosives,8.0
2017,1,4,Cameroon,Sub-Saharan Africa,Unknown,,,Bombing/Explosion,1.0,0.0,Soldiers,Unknown,Military,Explosives,1.0
2017,1,4,Iraq,Middle East & North Africa,Baiji,34.92485,43.491413,Bombing/Explosion,4.0,0.0,Mil Mi-35M Helicopter,Islamic State of Iraq and the Levant (ISIL),Military,Explosives,4.0
2017,1,4,Afghanistan,South Asia,Habib,33.326099,68.41664899999999,Assassination,1.0,0.0,Education Chief: Taza Gul Nangyalai,Taliban,Government (General),Firearms,1.0
2017,1,4,Afghanistan,South Asia,Charikar,35.018158,69.168991,Bombing/Explosion,0.0,3.0,Civilians,Unknown,Private Citizens & Property,Explosives,3.0
2017,1,4,Somalia,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,Bombing/Explosion,0.0,4.0,Compound,Al-Shabaab,Government (Diplomatic),Explosives,4.0
2017,1,4,Somalia,Sub-Saharan Africa,Mirrtaqwa,2.925025,45.903969000000004,Armed Assault,,,Checkpoint,Al-Shabaab,Military,Explosives,
2017,1,4,Ethiopia,Sub-Saharan Africa,Bahir Dar,11.592294,37.3826,Bombing/Explosion,0.0,0.0,Hotel,Unknown,Business,Explosives,0.0
2017,1,4,Pakistan,South Asia,Dera Ismail Khan,31.834328000000003,70.90905,Bombing/Explosion,0.0,17.0,Van,Unknown,Police,Explosives,17.0
2017,1,4,Pakistan,South Asia,Karachi,24.891115,67.143311,Armed Assault,1.0,2.0,Sub-Inspector: Iqbal Mehmood,Al-Qaida in the Indian Subcontinent,Police,Firearms,3.0
2017,1,4,Pakistan,South Asia,Karachi,24.891115,67.143311,Armed Assault,1.0,0.0,Contractor: Malik Abdur Rahman,Unknown,Business,Firearms,1.0
2017,1,4,India,South Asia,Jabalpur,23.166667,79.93333299999999,Assassination,2.0,0.0,Leader: Raju Mishra,Unknown,Private Citizens & Property,Firearms,2.0
2017,1,4,Lebanon,Middle East & North Africa,Bzal,34.468799,36.041834,Bombing/Explosion,0.0,0.0,Mayor: Firas Moussa,Unknown,Government (General),Explosives,0.0
2017,1,4,Mali,Sub-Saharan Africa,Gao,16.263981,-0.027987,Armed Assault,1.0,0.0,Aid Worker,Unknown,NGO,Firearms,1.0
2017,1,4,Nigeria,Sub-Saharan Africa,Bakin Dutse,10.842934,13.483585,Bombing/Explosion,3.0,0.0,Market,Boko Haram,Private Citizens & Property,Explosives,3.0
2017,1,4,Nigeria,Sub-Saharan Africa,Gwoza district,11.089722,13.688377,Bombing/Explosion,3.0,0.0,Soldiers,Unknown,Military,Explosives,3.0
2017,1,4,Iraq,Middle East & North Africa,Khanasah,33.043201,44.641945,Bombing/Explosion,1.0,5.0,Stores,Unknown,Business,Explosives,6.0
2017,1,4,Iraq,Middle East & North Africa,Radhwaniyah,33.185299,44.26778,Bombing/Explosion,1.0,3.0,Residence,Unknown,Private Citizens & Property,Explosives,4.0
2017,1,4,Afghanistan,South Asia,Ghazni,33.542621999999994,68.415329,Armed Assault,0.0,0.0,Checkpoints,Unknown,Police,Firearms,0.0
2017,1,4,Myanmar,Southeast Asia,Hlaingbwe,17.474068,97.80224799999999,Bombing/Explosion,0.0,1.0,118th Light Infantry Battalion (LIB) Unit,Democratic Karen Buddhist Army (DKBA),Military,Explosives,1.0
2017,1,4,India,South Asia,Patehl,23.369968,85.325012,Hostage Taking (Kidnapping),2.0,0.0,"Civilians: Sanjay Singh, Vijay Singh",Maoists,Private Citizens & Property,Firearms,2.0
2017,1,4,Greece,Western Europe,Athens,37.99749,23.762728,Bombing/Explosion,0.0,0.0,Office,Unknown,NGO,Explosives,0.0
2017,1,4,Greece,Western Europe,Athens,37.99749,23.762728,Facility/Infrastructure Attack,0.0,0.0,Office of Attorney: Dimitris Bourlos,Unknown,Business,Incendiary,0.0
2017,1,4,Kyrgyzstan,Central Asia,Bishkek,42.874722,74.612222,Bombing/Explosion,0.0,0.0,Amusement Park,Unknown,Business,Explosives,0.0
2017,1,4,Sudan,Sub-Saharan Africa,Tabit,13.314836999999999,25.088934,Facility/Infrastructure Attack,,,Herders,Unknown,Private Citizens & Property,Unknown,
2017,1,4,Syria,Middle East & North Africa,Tiyas,34.520278999999995,37.630001,Unknown,,,Tiyas Airbase,Islamic State of Iraq and the Levant (ISIL),Military,Unknown,
2017,1,4,Mali,Sub-Saharan Africa,Boni,15.075623,-2.219977,Hostage Taking (Kidnapping),,,Municipal Council Member: Amadou Dicko,Muslim extremists,Government (General),Unknown,
2017,1,4,Nigeria,Sub-Saharan Africa,Abraka,5.788824,6.100338,Armed Assault,2.0,0.0,"Farmers: Akpovona Felix, Sunday Akpupu",Fulani extremists,Private Citizens & Property,Melee,2.0
2017,1,4,Nigeria,Sub-Saharan Africa,Obiaruku,5.838492,6.158714,Armed Assault,3.0,0.0,Farmers,Fulani extremists,Private Citizens & Property,Melee,3.0
2017,1,5,Libya,Middle East & North Africa,Benghazi,32.069286,20.151144,Bombing/Explosion,6.0,0.0,Soldiers,Barqa Province of the Islamic State,Military,Explosives,6.0
2017,1,5,Pakistan,South Asia,Saranan,30.585,66.8725,Assassination,1.0,0.0,Head of the Qila Abdullah Chapter: Malik Mohammad Essa,Unknown,Private Citizens & Property,Firearms,1.0
2017,1,5,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,8.0,5.0,Civilians,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,13.0
2017,1,5,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,0.0,1.0,Civilian,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,1.0
2017,1,5,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,Bombing/Explosion,5.0,7.0,Market,Islamic State of Iraq and the Levant (ISIL),Private Citizens & Property,Explosives,12.0
2017,1,5,Iraq,Middle East & North Africa,Alam,34.705948,43.697075,Assassination,0.0,1.0,Eastern Tigris Operations Commander: Brigadier General Malik al-Khazraji,Unknown,Military,Explosives,1.0
2017,1,2,Afghanistan,South Asia,Nawa-i-Barakzayi district,31.429740999999996,64.30374499999999,Armed Assault,1.0,0.0,Officer: Bala Nasta,Taliban,Police,Firearms,1.0
2017,1,5,Turkey,Middle East & North Africa,Izmir,38.478577,27.139976,Bombing/Explosion,4.0,6.0,Courthouse,Kurdistan Freedom Hawks (TAK),Government (General),Explosives,10.0
2017,1,5,Afghanistan,South Asia,Qaysar,35.687365,64.293428,Assassination,3.0,7.0,Commander: Naseer Zabit,Taliban,Police,Explosives,10.0
2017,1,5,Afghanistan,South Asia,Jalalabad,34.417122,70.44959300000001,Bombing/Explosion,1.0,4.0,Vehicle,Khorasan Chapter of the Islamic State,Private Citizens & Property,Explosives,5.0
2017,1,5,Yemen,Middle East & North Africa,Al-Jin,12.725161,43.494482,Bombing/Explosion,6.0,24.0,Shaab al-Jen Camp,Houthi extremists (Ansar Allah),Military,Explosives,30.0
2017,1,5,Syria,Middle East & North Africa,Jableh,35.361571999999995,35.927155,Bombing/Explosion,12.0,35.0,Municipal Stadium,Islamic State of Iraq and the Levant (ISIL),Business,Explosives,47.0
2017,1,5,Afghanistan,South Asia,Kabul,34.516895,69.14701099999999,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,5,Afghanistan,South Asia,Khwajah Khan,36.157001,68.72030600000001,Assassination,1.0,0.0,Former Commander: Qand Agha,Unknown,Violent Political Party,Firearms,1.0
2017,1,5,India,South Asia,Chitragam,33.802215999999994,74.940395,Armed Assault,0.0,0.0,House of Member: Showkat Ganie,Unknown,Government (General),Firearms,0.0
2017,1,5,Afghanistan,South Asia,Maldar,33.890556,62.406389000000004,Bombing/Explosion,4.0,11.0,Checkpoint,Taliban,Military,Explosives,15.0
2017,1,5,Philippines,Southeast Asia,Nalus,6.012985,124.593255,Facility/Infrastructure Attack,0.0,0.0,Passenger Bus,New People's Army (NPA),Transportation,Firearms,0.0
2017,1,5,Afghanistan,South Asia,Unknown,31.026149,62.450415,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,5,India,South Asia,Kehakavi,20.273183,80.307383,Unknown,1.0,0.0,Former Maoist: Sukhram Lalchu Wadde,Communist Party of India - Maoist (CPI-Maoist),Violent Political Party,Unknown,1.0
2017,1,5,Serbia,Eastern Europe,Belgrade,44.786568,20.448922,Unknown,0.0,1.0,Camera Operator: Nihad Ibrahimkadic,Unknown,Journalists & Media,Unknown,1.0
2017,1,5,Sweden,Western Europe,Gothenburg,57.652828,11.910749000000001,Bombing/Explosion,0.0,1.0,Asylum-Seeker Center,Nordic Resistance Movement,Private Citizens & Property,Explosives,1.0
2017,1,5,Thailand,Southeast Asia,Yala,6.5454989999999995,101.2799,Armed Assault,1.0,0.0,Former School Administrator,Unknown,Educational Institution,Firearms,1.0
2017,1,5,Somalia,Sub-Saharan Africa,Mahaday,2.973305,45.535603,Bombing/Explosion,0.0,0.0,Convoy,Unknown,Military,Explosives,0.0
2017,1,6,Yemen,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Barricade Incident),0.0,0.0,Civilians,Houthi extremists (Ansar Allah),Private Citizens & Property,Firearms,0.0
2017,1,6,Pakistan,South Asia,Bal,25.831426999999998,62.259736,Armed Assault,1.0,0.0,Suspected Informant: Muhammad IIyas,Baloch Liberation Front (BLF),Private Citizens & Property,Firearms,1.0
2017,1,6,Pakistan,South Asia,Dera Bugti,29.034412,69.158661,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,6,Pakistan,South Asia,Patkhu,28.923448999999998,69.001649,Bombing/Explosion,0.0,0.0,Unknown,Unknown,Unknown,Explosives,0.0
2017,1,6,Pakistan,South Asia,Quetta,30.200819,66.994354,Armed Assault,0.0,5.0,"Hazara Civilians: Sahib Ali, Najeebullah, Javed Ali",Lashkar-e-Jhangvi,Private Citizens & Property,Firearms,5.0
2017,1,6,Iraq,Middle East & North Africa,Dawr,34.458889,43.791004,Armed Assault,0.0,0.0,Police Station,Islamic State of Iraq and the Levant (ISIL),Police,Firearms,0.0
